longitude,latitude,Diameter:double
271.85001,-44.01,26759.25973
233.37,-26.77,20380.02424
210.56,-46.29,20038.07164
198.74001,-45.21,19031.94076
237.50999,-47.86,17844.64898
205.53999,-28.28,17017.90989
275.95001,-47.02,15909.49748
205.03999,-35.39,15376.2136
207.62,-46.39,15351.9623
248.39999,-24.07,14066.45874
266.63,-46.65,12881.18813
248.42999,-35.29,12802.22196
270.62,-64,12802.17395
200.27,-35.27,12650.8939
229.02,-42.92,11822.8
210.17999,-47.78,11822.45124
197.2,-51.36,11807.70963
218.75999,-47.81,11325.39385
237.06,-24.74,11082.73886
225.87,-45.1,10346.57937
206.52,-31.29,10190.9718
231.36,-54.68,10102.26814
207.97,-39.73,10004.4896
203.89999,-46.95,9906.374396
210.45,-34.26,9620.083802
240.87,-22.95,9599.012815
257.69,-44.12,9410.668268
208.60001,-28.41,9400.647416
238.3,-23.22,9231.915888
240.84,-37.26,9205.8476
209.72,-28.71,9182.91919
233.25,-33.15,8997.561831
215.3,-29.39,8863.681398
275.37,-46.18,8605.72439
252.64,-58.36,8517.185632
201.57001,-34.51,8491.6952
271.31,-60.94,8372.173253
190,-50.03,7928.146091
206.17,-50.93,7888.964331
246.66,-25.03,7741.698269
248.44,-21.63,7723.213727
213.78,-23.56,7649.621035
236.67,-46.76,7582.231287
228.7,-48.35,7570.140205
280.22,-67.35,7519.040668
211.41,-42.22,7507.343914
249.89999,-57.4,7471.22388
246.95,-36.82,7408.15628
246.00999,-24.17,7262.463164
243.77,-21.76,7132.212871
254.5,-42.27,7117
280.29999,-66.75,7063.141333
201.21001,-45.29,7050.301976
270.32001,-41.37,6890.904204
246.67999,-21.12,6766.267759
203.81,-46.08,6679.255385
246.42,-37.44,6670.82428
237.64999,-36.37,6596.267847
188.23,-51.85,6593.538444
210.06,-23.21,6444.737821
223,-18.7,6249.603715
220.92,-31.82,6244.605049
254.92,-31.66,6184.561858
275.89001,-51.59,5979.9826
218.78999,-22.79,5841.198452
233.32001,-48.92,5772.832444
280.79001,-67.98,5689.333262
248.69,-50.87,5656.418719
257.35001,-42.56,5655
249.50999,-27.62,5635.069614
249.3,-57.41,5589.926057
206.86,-36.23,5560.57552
222.22,-22.6,5558.870156
244.32001,-30.33,5540.056816
256.89999,-43.07,5531
232.21001,-29.61,5510.131637
254.2,-39.39,5496
228.3,-42,5495.71412
204.37,-51.83,5479.757829
216.08,-43.6,5416.209784
248.86,-32.63,5393.455194
256.17001,-31.56,5392.693088
239.23,-27.48,5368.676786
242.48,-23.54,5352.41487
242.25,-22.48,5279.648872
278.09,-52.24,5222.071902
256.82001,-36.51,5211
237.00999,-49.73,5193.798609
231.2,-37.38,5185.346197
253.75,-44.07,5144
222.22,-43.32,5141.027064
213.84,-34.37,5124.302517
278.85999,-66.51,5100.141479
231.25999,-53.07,5098.876149
209.60001,-33.87,5087.067733
209.81,-48.35,5064.518015
220.75,-20.43,5044.293556
248.53,-55.62,5042.253884
252.67,-58.99,5018.120197
230.16,-45.24,4947.383475
247.61,-36.32,4947.17836
241.38,-59.08,4924.10945
210.03999,-46.71,4863.411561
199.36,-33.44,4799.094669
250.5,-54.29,4784.650775
206.3,-42.76,4746.227622
249.69,-55.02,4696.474094
243.14,-26.25,4688.469933
217.00999,-41.16,4593.667017
259.20999,-35.26,4586
210.53999,-25.54,4557.101712
251.34,-26.3,4550.706456
231.37,-29.8,4543.934451
236.03999,-32.49,4526.137816
231.56,-21.88,4520.291151
228.49001,-40.45,4516.823
235.3,-43.86,4479.937652
236.84,-30.05,4437.553076
251.38,-58.67,4429.192342
208.25999,-48.6,4418.745788
208.71001,-47.77,4417.648154
224.64999,-34,4406.82315
279.23999,-52.17,4396.745111
211.7,-24.09,4383.138039
261.5,-59.6,4320.083393
203.3,-33.92,4318.56456
250.27,-45.22,4302
221.5,-23.74,4297.4702
206.14,-53.67,4277.788383
213.39999,-48.72,4275.324912
236.39,-28.08,4265.486377
236.71001,-31.78,4265.486377
214.08,-23.8,4209.329554
213.39999,-36.8,4201.18324
261.39001,-56.52,4198.424068
208.81,-55.03,4153.123975
257.95999,-32.12,4142.872662
255.25,-41.27,4116
208.10001,-49.65,4110.50932
244.60001,-61.29,4082.986271
200.22,-54.03,4067.689869
221.00999,-29.04,4020.5516
207.25,-40.51,4005.566724
215.31235,-26.23246,21256.4950276748
216.75209,-27.30109,19798.8158779094
