longitude,latitude,Diameter:double
294.76001,-0.2,34436.07499
286.95001,-5.08,17404.42114
274.48999,5.25,15540.63729
273.85001,-4.85,15391.83609
289.38,-15.86,14552.44152
297.13,-11.78,13170.47476
297.82001,-3.52,12033.89009
284.04999,-11.55,12032.66204
278.51999,0.97,11779.5136
288.89001,-14.91,11294.15457
288.09,7.49,10775.49297
288.69,8.69,10689.00813
277.38,-5.57,10149.23876
278.13,1.46,10017.984
290.89001,-13.65,9682.894854
282.48001,-13.97,9655.870568
296.19,-8.2,9651.11598
290.67001,5.83,9593.542626
288.17999,-2.12,9262.387186
277.14001,11.06,9160.829834
297.23001,-8.26,9099.218685
286.17999,-13.79,8693.868719
292.81,-9.02,8363.236556
286.76999,-16.3,8257.8575
291.85001,-13.64,8239.905372
291.53,6.97,8094.350496
284.82001,-1.7,7900.347317
292.69,5.9,7770.750157
289.82999,-7.97,7577.262118
284.14001,3.7,7516.64816
295.04999,-7.24,7487.13007
276.82001,8.55,7471.521761
298.13,-6.98,7430.568622
292.76001,5.16,7404.95032
284.59,-13.91,7381.910165
278,-1.78,7381.258233
291.79999,0.4,7367.80264
281.22,5.72,7217.428834
289.81,10.41,7161.810292
288.41,-13.37,7087.841968
285.12,-0.24,7031.227852
292.32999,-2.87,6982.607175
285.67999,5.29,6979.764035
281.92001,1.32,6944.85652
291.42001,-11.06,6925.76228
283.78,2.65,6910.4738
286.23001,-10.78,6863.814018
291.20001,7.73,6828.548096
294.01001,-13.54,6808.920724
293.07999,-10.87,6745.073375
289.12,-2.28,6736.663042
298.39001,-9.73,6703.150026
289.38,-12.21,6658.785907
295.20999,-13.42,6650.791055
284.57999,8.3,6645.44747
284.16,10.38,6604.822999
293.12,9.34,6601.99808
278.82001,6,6560.408784
290.06,-9.35,6551.408839
286.20999,-1.13,6524.99482
281.63,6.43,6475.265538
291.19,-8.55,6451.806249
277.29999,2.65,6449.93608
295.60999,-10.66,6404.279821
284.16,1.6,6390.8916
281.64999,-2.46,6353.816971
297.28,1.39,6315.06136
293.60001,8.35,6251.920201
274.59,5.77,6230.931056
294.5,-11.35,6221.227999
294.10001,4.49,6041.52296
281.14001,3.06,6040.1886
294.60999,2.62,5959.70872
284.95999,-6.19,5925.265233
289.48001,-9.67,5913.530106
283.92001,-3.31,5903.245681
280.42999,5.06,5895.24348
273.94,-6.14,5890.303415
290.29999,9.38,5886.827993
281.42999,11.36,5875.927861
278.48999,-10.25,5854.606734
297.29999,-10.19,5824.950864
291.89999,-8.44,5823.703743
